Site_ID,Parent_ID,Code,Display_No,CISARK_No,Name,Function,Importance,Building_Type_Label,Composition,Condition,Stand_in,Dimension,Inscription,Stone_object,Description,Detail_web,UTM_E,UTM_N,Notes
N1,M020,N1,N1,,,Central shrine,A2,Shrine within Complex,,Remain with the upper half of the wall and platform,,,None,"402, 403, 415-421","This shrine stands on the square terrace (approx. 40m in each direction). Terrace is floored by sandstone pavement. Sandstone steps are unearthed from all four cardinal directions, but north step was severely destroyed probably by human intervention. Four lines of pillar hole were found at the eastern floor. Wooden chamber may be installed in the later period only at the front direction of this shrine. All of the structure above the wall was collapsed and around the door openings are also severely damaged. This is the only single shrine that has four door openings to every direction in this group of monuments. Clearance of the accumulated brick and soil around shrine was done in 2001 as well as installing of support to each door openings. Additional brick work was confirmed at the foot of platform by this clearance. Excavation survey in the main chamber was done in 2004. Deep looted hole was found at the center, although no object was detected from the hole. As many pieces of the Yoni element were found from the soil and brick accumulation around the shrine, SCP did reconstruction of this element and sat on the brick base in 2007. Only single square Yoni plate was reconstructed. Lower pedestal layers were not found, but some stone boards that were unearthed from the accumulation around the shrine can be a part of this pedestal. Accumulated brick and soil on the central terrace was cleared and partially restored in 2009-10. North step of the central shrine was also heavily disturbed as same as the north step of terrace. Stucco decoration was partially confirmed on the platform by this clearance. N1 shrine was completed the restoration work in 2017 by SCP.",details/N1.html,504677,1422857,
N2,M020,N2,N2,,,South-east small shrine on the main terrace,A2,Shrine within Complex,,Mound with brick,,,None,None,It is not confirmed the existence of any structure in this small mound.,details/N2.html,504695,1422841,
N3,M020,N3,N3,,,South-west small shrine on the main terrace,A2,Shrine within Complex,,Mound with partially wall,,,None,None,This shrine is a set with N4 as a symmetrical location. Brick wall is partially visible.,details/N3.html,504661,1422840,
N4,M020,N4,N4,,,North-west small shrine on the main terrace,A2,Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,"Excavated elements; Lintel, Colonnette (no number)","Excavation survey by SCP in 2008. Brick work is very poor technique and condition. This shrine was additional structure at a late period, because the poor brick work and unearthed reused Lintel and Colonnette.",details/N4.html,504660,1422874,
N5,M020,N5,N5,,,North-east small shrine on the main terrace,A3,Ruined Shrine within Complex,,Mound with brick,,,None,None,It is not sure the existence of any structure in this small mound. Excavation survey of the corner of northeast terrace by SCP in 2005.,details/N5.html,504694,1422875,
N6-1,M020,N6-1,N6-1,,,East gate of the inner enclosure,A4,Other Structure within Complex,,Mound,,,None,None,South half of gate structure was excavated by SCP in 2006.,details/N6-1.html,504723,1422861,
N6-2,M020,N6-2,N6-2,,,South gate of the inner enclosure,A4,Other Structure within Complex,,Mound,,,None,None,Structure is completely covered by accumulated soil.,details/N6-2.html,504680,1422810,
N6-3,M020,N6-3,N6-3,,,West gate of the inner enclosure,A4,Other Structure within Complex,,Mound,,,None,None,Parmentier excavated and recorded this structure in AKP.,details/N6-3.html,504631,1422856,
N6-4,M020,N6-4,N6-4,,,North gate of the inner enclosure,A4,Other Structure within Complex,,Mound,,,None,None,Structure is completely covered by accumulated soil.,details/N6-4.html,504676,1422903,
N7,M020,N7,N7,,,South-west sub shrine,A2,Shrine within Complex,,Remain with the top of the roof part,,,None,"404, 422, 423","This is a single shrine of the octagonal plan in this temple complex. 4 tiers of roof are at least remaining. Stucco and pigment partially remain on the Flying Palace. Excavation survey in the main chamber in 2003. Pillar holes were confirmed on the brick floor at corners of the pedestal. In other words, we can conjecture that the wooden canopy was installed for covering the deity on the pedestal. Looted hole was confirmed under the lowest layer of the large round pedestal, but no object was found through the excavation survey of this hole. Front step was restored in 2007. One lintel in Sambor Prei Kuk style was unearthed from the front of this shrine. Broken pedestal fragments that were collected by the excavation in the chamber were reconstructed with a small amount of new sandstone in 2007-2008. Temporary support was added at the inner opening in 2012. (All works were done by SCP)",details/N7.html,504641,1422819,
N7-FP,M020,N7-FP,N7 front pedestal,,,Pedestal in front of the N7 shrine,A4,Other Structure within Complex,,Reconstructed,,,None,409,"This pedestal was found by the excavation survey in 2008. Detected stone elements were restored and inner brick structure and stone pedestal was reconstructed in 2007-2008 by SCP. Surrounding square brick steps was constructed for supporting the soil, and this is not reconstructed as original.",details/N7-FP.html,504658,1422819,
N8,M020,N8,N8,,,North-west sub shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,None,"389, 407, 408","This is a rectangular shrine. Relatively large space between door opening and the main chamber. Somasutra is installed in north wall and two sets of stone projected for supporting the wooden board at the both side of interior wall. 4 tiers of roof structure remain. Excavation survey in the main chamber and reconstruction of the pedestal in 2005 by SCP. Only the yoni plate was sat on the concrete fake pedestal, and original stone pedestal layers were laid in front of the shrine because the original stone elements are too damaged to reassemble.",details/N8.html,504638,1422894,
N9,M020,N9,N9,,,North-east sub shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,None,"405, 425","This is a square shrine and almost same dimension as N10 shrine. 5 tiers of roof structure remain. Excavation survey was carried out in 2005 to search for the pedestal element. However, none of the pedestal fragments were found from the looted deep hole. Replica of the deity “Durga” was installed on the concrete cube base in 2006. (All works were done by SCP.)",details/N9.html,504714,1422897,
N10,M020,N10,N10,,,South-east sub shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,None,None,This is a square shrine and almost same dimension with N9 shrine. 4 tiers of roof structure remain. Drainage projection of yoni (Snanadroni) directed to west irregularly. Installing the support to the door opening in 2005. Clearance survey in the main chamber and reconstruction of the pedestal in 2005. Pillar holes were confirmed at the corner of pediment as same as N7 shrine. Wooden canopy might be installed for covering the statue. Installing the replica of main statue “Harihara” in 2006. (All works were done by SCP.),details/N10.html,504717,1422821,
N10-W,M020,N10-W,N10-west structure,,,Unknown (but probably so-called structure of “Library”),A3,Ruined Shrine within Complex,,Remain with the low end of the wall and platform,,,None,"Ganesa statue (no number yet), 426",This structure was unearthed by the excavation survey in 2008.,details/N10-W.html,504709,1422822,
N11,M020,N11,N11,,,South shrine in the backside,A2,Shrine within Complex,,Remain with the top of the roof part,,,None,"349, 427","This shrine has a square plan with two stepped projections on each side. It is the highest shrine in this temple complex, and three tiers of the roof structure remain. The western elevation is the best preserved. Decorative elements around the false doors were carved in brick, while the door frames were made of sandstone. The decorative lintel of the eastern doorway is recorded in old photographs, but this element is now missing. Supports were installed at the doorway in 2001. An excavation survey was carried out in the main chamber, and several stone pedestal elements were found in the looted hole. A set of altar elements and the lowest layer of the pedestal were reconstructed in 2005. The upper layers of the pedestal were not found. All of these works were conducted by SCP.
This shrine is one of the most hazardous structures in this temple complex. There are many cracks, and some of the Flying Palaces are inclined outward. Full-scale restoration work is urgently needed. From 2024 to 2025, the National Authority for Sambor Prei Kuk removed accumulated deposits around the building and carried out restoration works, including the consolidation of the brick masonry.",details/N11.html,504597,1422833,
N12,M020,N12,N12,,,North shrine in the backside,A2,Shrine within Complex,,Remain with the lower half of the roof part,,,None,None,This shrine is square plan with two steps of projection at each side. Only first tier of the roof is partially observed and confirmed the high tier style as same as symmetrical positioned N11 shrine. Collapsed brick filled in the interior space. Decorative motif on the Flying Palace and pilaster were destroyed by flat chisel. Original design was possibly changed in the later period. This kind of the destructive modification can be confirmed only in this shrine in this temple complex.,details/N12.html,504595,1422878,
N13,M020,N13,N13,,,Far-north shrine in the backside,A2,Shrine within Complex,,Remain with the lower half of the roof part,,,None,428,"This shrine has a square plan with flat wall. Only first tier of the roof is partially observed. Collapsed brick filled in the interior space. Many round holes are engraved on four sides of exterior wall. Dimension of these holes are 10cm in diameter and 10cm in depth. Holes are opened three levels; middle of wall, upper part of wall, and molding above the wall. Holes are never opened on a vertical line. This kind of holes are observed only at the S1 shrine.",details/N13.html,504595,1422921,
N14-1,M020,N14-1,N14-1,,,East shrine between inner and middle enclosure,A2,Shrine within Complex,,Remain with the upper half of the wall and platform,,,K.437,429-432,"This shrine has a rectangular plan and remains by the top of wall. Clearance excavation survey was conducted at the front half building and the looted hole in the chamber in 2005 by SCP. Perfect shape of lintel in Sambor Prei Kuk style was discovered in front of this mound. Looted hole was re-excavated almost 7m in depth, but no pedestal or other objects were unearthed. Brick layer was confirmed about 1.5m thickness under floor level. Restoration work was carried out in 2011 and 2012, and consolidated the loose brick masonry.",details/N14-1.html,504749,1422823,
N14-2,M020,N14-2,N14-2,,,North shrine between inner and middle enclosure,A2,Shrine within Complex,,Remain with the lower half of the wall and platform,,,None,"346, 433-435","This structure was previously covered by accumulated soil and only the door jamb was visible. Clearance excavation survey was carried out in 2005 and confirmed the square plan of shrine. But the brick structure was heavily damaged and quality of original brick work is possibly poorer than the other shrines in this temple complex. A set of beautiful pedestal, yoni, and linga was unearthed from the mound. SCP conducted the restoration work of this pedestal with partial new sandstone in 2005. Stone of linga is fine grain sandstone, not typical sandstone. Original linga stone was stored in storehouse and concrete linga was installed at the site.",details/N14-2.html,504713,1422921,
N25,M020,N25,N25,,,East gate of the middle enclosure,A4,Other Structure within Complex,,Remain with the lower half of the wall and platform,,,K.436,436-438,Excavation survey was carried out on and nearby this gate in 2006 by SCP.,details/N25.html,504771,1422861,
N26,M020,N26,N26,,,South gate of the middle enclosure,A4,Other Structure within Complex,,Mound with laterite blocks,,,None,None,Door jambs and collapsed laterite structure.,details/N26.html,504680,1422767,
N27,M020,N27,N27,,,West gate of the middle enclosure,A4,Other Structure within Complex,,Mound with laterite blocks,,,None,None,Door jambs and collapsed laterite structure.,details/N27.html,504566,1422852,
N28,M020,N28,N28,,,North gate of the middle enclosure,A4,Other Structure within Complex,,Mound with laterite blocks,,,None,None,No laterite structure was observed above ground.,details/N28.html,504670,1422947,
N34,M020,N34,N34,,,East outer enclosure gate (or terrace?),A4,Other Structure within Complex,,Stepped stones were paved,,,None,None,South half of this stepped terrace was excavated in 2006 by SCP. Important Nak-Ta shrine for the villager around this area is standing beside this terrace.,details/N34.html,504807,1422862,
N35,M020,N35,N35,,,South outer enclosure gate,A4,Other Structure within Complex,,Small mound with some stone elements,,,None,439,Sandstone block of door frame are scattered.,details/N35.html,504683,1422685,
N36,M020,N36,N36,,,West outer enclosure gate,A4,Other Structure within Complex,,Mound with brick and some stone elements,,,None,"440, 441",Broken moonstone is scattered.,details/N36.html,504411,1422844,
N37,M020,N37,N37,,,North outer enclosure gate,A4,Other Structure within Complex,,No trace but estimate the existence,,,None,"440, 441",None,details/N37.html,504667,1423082,
M021,,M021,N22,3506,No name,,A2,Shrine within Complex,Single shrine but inside the outer enclosure of Prasat Sambor,Remain with the top of the roof part,Forest,,None,None,"This shrine may stands on the elevated terrace. Laterite lined structure partially appeared at the edge of the south terrace and some columns, laterite blocks are scattered at the east side. This shrine is a rectangular plan with two steps projection and remains up to three tiers roof. No space between door opening and main chamber. Somasutra penetrates the north wall. Decorative elements around false door; lintel and colonnette, is not represented as typical composition. Edicule decorations are situated on the upper roof layers whereas no Flying Palace on the wall. These above architectural styles are similar to N22 shrine. East lintel is unique style (“type 2” by Parmentier classification). Excavation survey was carried out in the main chamber in 2005. Then unearthed pedestal was restored and reset there. The replica of main statue “Brahma” was installed on the pedestal in 2006. Accumulation soil around the platform was removed in 2006. (All works were done by SCP.)",details/M021.html,504738,1422691,
M022,,M022,S12,3516,No name,,A2,Shrine within Complex,Single shrine,Remain with the upper half of the wall,Forest,,None,None,"This shrine is a rectangular plan. Roof and upper part of wall was collapsed and the platform was covered by collapse brick. Flying palace was engraved on the wall. Excavation trenches by the G, Groslier in 1960s remain around this shrine.",details/M022.html,504739,1422454,
